|   Term |   Total pay |   Interest pay |
|    159 |    0.92326  |     0.231593   |
|    160 |    0.920435 |     0.228769   |
|    161 |    0.917611 |     0.225944   |
|    162 |    0.914787 |     0.22312    |
|    163 |    0.911963 |     0.220296   |
|    164 |    0.909138 |     0.217472   |
|    165 |    0.906314 |     0.214647   |
|    166 |    0.90349  |     0.211823   |
|    167 |    0.900665 |     0.208999   |
|    168 |    0.897841 |     0.206174   |
|    169 |    0.895017 |     0.20335    |
|    170 |    0.892192 |     0.200526   |
|    171 |    0.889368 |     0.197701   |
|    172 |    0.886544 |     0.194877   |
|    173 |    0.883719 |     0.192053   |
|    174 |    0.880895 |     0.189228   |
|    175 |    0.878071 |     0.186404   |
|    176 |    0.875247 |     0.18358    |
|    177 |    0.872422 |     0.180756   |
|    178 |    0.869598 |     0.177931   |
|    179 |    0.866774 |     0.175107   |
|    180 |    0.863949 |     0.172283   |
|    181 |    0.861125 |     0.169458   |
|    182 |    0.858301 |     0.166634   |
|    183 |    0.855476 |     0.16381    |
|    184 |    0.852652 |     0.160985   |
|    185 |    0.849828 |     0.158161   |
|    186 |    0.847003 |     0.155337   |
|    187 |    0.844179 |     0.152513   |
|    188 |    0.841355 |     0.149688   |
|    189 |    0.838531 |     0.146864   |
|    190 |    0.835706 |     0.14404    |
|    191 |    0.832882 |     0.141215   |
|    192 |    0.830058 |     0.138391   |
|    193 |    0.827233 |     0.135567   |
|    194 |    0.824409 |     0.132742   |
|    195 |    0.821585 |     0.129918   |
|    196 |    0.81876  |     0.127094   |
|    197 |    0.815936 |     0.124269   |
|    198 |    0.813112 |     0.121445   |
|    199 |    0.810287 |     0.118621   |
|    200 |    0.807463 |     0.115797   |
|    201 |    0.804639 |     0.112972   |
|    202 |    0.801815 |     0.110148   |
|    203 |    0.79899  |     0.107324   |
|    204 |    0.796166 |     0.104499   |
|    205 |    0.793342 |     0.101675   |
|    206 |    0.790517 |     0.0988507  |
|    207 |    0.787693 |     0.0960264  |
|    208 |    0.784869 |     0.0932021  |
|    209 |    0.782044 |     0.0903778  |
|    210 |    0.77922  |     0.0875535  |
|    211 |    0.776396 |     0.0847292  |
|    212 |    0.773572 |     0.0819049  |
|    213 |    0.770747 |     0.0790806  |
|    214 |    0.767923 |     0.0762563  |
|    215 |    0.765099 |     0.0734319  |
|    216 |    0.762274 |     0.0706076  |
|    217 |    0.75945  |     0.0677833  |
|    218 |    0.756626 |     0.064959   |
|    219 |    0.753801 |     0.0621347  |
|    220 |    0.750977 |     0.0593104  |
|    221 |    0.748153 |     0.0564861  |
|    222 |    0.745328 |     0.0536618  |
|    223 |    0.742504 |     0.0508375  |
|    224 |    0.73968  |     0.0480132  |
|    225 |    0.736856 |     0.0451889  |
|    226 |    0.734031 |     0.0423646  |
|    227 |    0.731207 |     0.0395403  |
|    228 |    0.728383 |     0.036716   |
|    229 |    0.725558 |     0.0338917  |
|    230 |    0.722734 |     0.0310674  |
|    231 |    0.71991  |     0.0282431  |
|    232 |    0.717085 |     0.0254188  |
|    233 |    0.714261 |     0.0225944  |
|    234 |    0.711437 |     0.0197701  |
|    235 |    0.708612 |     0.0169458  |
|    236 |    0.705788 |     0.0141215  |
|    237 |    0.702964 |     0.0112972  |
|    238 |    0.70014  |     0.00847292 |
|    239 |    0.697315 |     0.00564861 |
|    240 |    0.694491 |     0.00282431 |
